user_id,team1,team2,pick
7,Mississippi,UAB,Mississippi
7,"Long Beach St.","Arizona St.","Arizona St."
7,"Wake Forest",Kentucky,Kentucky
7,UTSA,"Jackson St.","Jackson St."
7,Villanova,Vanderbilt,Villanova
7,"Charleston Southern","Holy Cross","Holy Cross"
7,Davidson,Stanford,Stanford
7,Vermont,Belmont,Vermont
7,California,"Oregon St.",California
7,Fordham,"Arkansas St.",Fordham
7,Houston,Wisconsin,Houston
7,"Saint Mary's",Arizona,"Saint Mary's"
7,UNLV,Marshall,UNLV
7,Oregon,"Virginia Tech","Virginia Tech"
7,"Texas Tech",Rutgers,"Texas Tech"
7,"Texas A&M Corpus Chris",Elon,Elon
7,Akron,"Tarleton St.",Akron
7,Towson,"Saint Louis","Saint Louis"
7,Southern,"Northwestern St.","Northwestern St."
7,"Florida Atlantic",Hofstra,"Florida Atlantic"
7,Auburn,Xavier,Auburn
7,Bryant,"Notre Dame","Notre Dame"
7,"UC Santa Barbara","Fresno St.","UC Santa Barbara"
7,Bradley,Furman,Furman
7,"New Mexico",Syracuse,"New Mexico"
7,"Texas Southern","Georgia Southern","Georgia Southern"
7,Liberty,"George Mason",Liberty
7,UCF,"Middle Tennessee",UCF
7,Utah,"UNC Wilmington",Utah
7,"Norfolk St.","Northern Arizona","Norfolk St."
7,Marist,Columbia,Marist
7,"Cal Baptist",Troy,"Cal Baptist"
7,"North Carolina",Providence,Providence
8,Stanford,"Boise St.","Boise St."
8,Dayton,VCU,Dayton
8,"Little Rock",Canisius,Canisius
8,"UMass Lowell","Southern Utah","UMass Lowell"
8,"Kennesaw St.","North Dakota St.","Kennesaw St."
8,"UNC Greensboro","UC Davis","UNC Greensboro"
8,Vanderbilt,"Washington St.","Washington St."
8,Toledo,"Middle Tennessee",Toledo
8,Villanova,UAB,Villanova
8,"Northern Arizona","Mount St. Mary's","Northern Arizona"
8,"Weber St.","George Washington","Weber St."
8,Harvard,"George Mason","George Mason"
8,Columbia,"McNeese St.","McNeese St."
8,"Arkansas St.",Delaware,"Arkansas St."
8,Lehigh,Charlotte,Charlotte
8,Merrimack,"New Mexico St.","New Mexico St."
8,"Central Connecticut","Southeastern Louisiana","Southeastern Louisiana"
8,"Mississippi St.","Virginia Tech","Mississippi St."
8,"UC Santa Barbara","Murray St.","UC Santa Barbara"
8,Auburn,Virginia,Virginia
8,DePaul,Temple,Temple
8,Syracuse,"North Carolina","North Carolina"
8,Charleston,"New Mexico","New Mexico"
